sortorder,fase,fase_en,tittel,beskrivelse,sjekkliste,tittel_en,beskrivelse_en,sjekkliste_en
100,Idé,Idea,Dokumentere behov og problem,Etablere et tydelig grunnlag for å vurdere om behovet bør utredes videre.,Beskriv behov/problem;Beskriv hvem som berøres;Dokumenter relevant bakgrunn,Document the need and the problem,Establish a clear basis for assessing whether the need should be investigated further.,Describe the need/problem;Describe who is affected;Document relevant background
200,Idé,Idea,Vurdere og prioritere initiativet,"Avklare om initiativet er relevant, og hvilken håndtering som er mest hensiktsmessig.",Vurder mot mål og føringer;Vurder linje/produktteam/portefølje/prosjekt;Avklar ansvarlig enhet,Assess and prioritize the initiative,"Clarify whether the initiative is relevant, and which handling is most appropriate.",Assess against goals and guidelines;Consider line/product team/portfolio/project;Clarify the responsible unit
300,Idé,Idea,Utarbeide prosjektforslag for konseptfasen,Etablere grunnlaget for å starte konseptfasen.,Beskriv formål og problemstilling;Avgrens arbeidet;Avklar ressursbehov og organisering,Prepare the project proposal for the concept phase,Establish the basis for starting the concept phase.,Describe purpose and problem statement;Define the scope of the work;Clarify resource needs and organization
400,Konsept,Starting up,Planlegge og organisere konseptarbeidet,"Etablere rammer, ansvar og arbeidsform for konseptfasen.",Avklar roller og ansvar;Planlegg involvering;Avklar fremdrift og ressursbruk,Plan and organize the concept work,"Establish the framework, responsibilities and way of working for the concept phase.",Clarify roles and responsibilities;Plan involvement;Clarify progress and resource use
500,Konsept,Starting up,"Utrede behov, mål og ønsket situasjon","Etablere et felles og dokumentert bilde av problemet, behovet og hva man ønsker å oppnå.",Beskriv mål og ønskede resultater;Identifiser berørte brukere/interessenter;Dokumenter relevante føringer,"Investigate needs, goals and the desired situation","Establish a shared and documented understanding of the problem, the need and what you want to achieve.",Describe goals and desired results;Identify affected users/stakeholders;Document relevant guidelines
600,Konsept,Starting up,Utrede og beskrive mulige konsepter,"Identifisere realistiske alternativer, inkludert nullalternativet, som kan møte behovet.",Identifiser alternativer;Beskriv nullalternativ;Innhent relevant erfaring/kunnskap,Investigate and describe possible concepts,"Identify realistic alternatives, including the zero option, that can meet the need.",Identify alternatives;Describe the zero option;Gather relevant experience/knowledge
700,Konsept,Starting up,Analysere konsepter og gjennomførbarhet,Sammenligne alternativene og etablere et faglig grunnlag for anbefaling.,Vurder nytte;Vurder kostnad;Vurder risiko;Vurder gjennomførbarhet;Vurder relevante prinsipielle forhold,Analyze concepts and feasibility,Compare the alternatives and establish a sound basis for a recommendation.,Assess benefits;Assess cost;Assess risk;Assess feasibility;Assess relevant questions of principle
800,Konsept,Starting up,Anbefale konsept og gjennomføringsform,Dokumentere anbefalt konsept og hvordan det bør realiseres.,Begrunn konseptvalg;Vurder organisering og gjennomføringsform;Avklar ansvar for nytte,Recommend concept and delivery approach,Document the recommended concept and how it should be realized.,Justify the choice of concept;Consider organization and delivery approach;Clarify responsibility for benefits
900,Konsept,Starting up,Ferdigstille beslutningsgrunnlag for planleggingsfasen,Samle resultatene fra konseptarbeidet i et helhetlig grunnlag for fasesjekk.,Ferdigstill prosjektforslag;Oppdater prosjektbegrunnelse;Utarbeid anbefaling og faseplan,Complete the decision basis for the planning phase,Consolidate the results of the concept work into a comprehensive basis for the phase gate.,Complete the project brief;Update the business case;Prepare the recommendation and phase plan
1000,Planlegge,Initiating,Planlegge prosjektets gjennomføring,Etablere en realistisk plan for hvordan prosjektet skal gjennomføres.,Definer leveranser;Definer aktiviteter og milepæler;Planlegg ressurser;Avklar styringsparametere;Definer akseptansekriterier,Plan the project execution,Establish a realistic plan for how the project will be carried out.,Define deliverables;Define activities and milestones;Plan resources;Clarify performance targets;Define acceptance criteria
1100,Planlegge,Initiating,Definere gjennomførings- og anskaffelsesstrategi,"Avklare hvordan prosjektet skal organiseres, anskaffes og gjennomføres.",Vurder gjennomføringsstrategi;Avklar anskaffelsesstrategi;Avklar kvalitetsstrategi;Avklar relevante tekniske og sikkerhetsmessige rammer,Define the delivery and procurement strategy,"Clarify how the project will be organized, procured and carried out.",Consider the delivery strategy;Clarify the procurement strategy;Clarify the quality strategy;Clarify relevant technical and security constraints
1200,Planlegge,Initiating,"Planlegge risiko, kvalitet og endring","Etablere hvordan usikkerhet, kvalitet og organisatorisk endring skal håndteres.",Oppdater risikobilde;Definer kvalitetsoppfølging;Planlegg endringsledelse,"Plan risk, quality and change","Establish how uncertainty, quality and organizational change will be handled.",Update the risk picture;Define quality follow-up;Plan change management
1300,Planlegge,Initiating,"Planlegge nytte, interessenter og kommunikasjon",Etablere hvordan interessenter skal involveres og hvordan forventet nytte skal følges opp.,Oppdater interessentanalyse;Planlegg kommunikasjon;Utarbeid plan for nyttestyring;Avklar linjens ansvar,"Plan benefits, stakeholders and communication",Establish how stakeholders will be involved and how expected benefits will be followed up.,Update the stakeholder analysis;Plan communication;Prepare the benefit management plan;Clarify the line organization's responsibility
1400,Planlegge,Initiating,Utarbeide styringsgrunnlag,Samle planene og strategiene i et helhetlig styringsgrunnlag for gjennomføringen.,"Ferdigstill styringsdokument;Sikre sammenheng mellom mål, leveranser, tid, kostnad og risiko;Oppdater prosjektbegrunnelse",Prepare the governance basis,Consolidate the plans and strategies into a comprehensive governance basis for the execution.,"Complete the project initiation document;Ensure coherence between goals, deliverables, time, cost and risk;Update the business case"
1500,Gjennomføre,Directing,Planlegge og styre gjennomføringen,Omsette styringsgrunnlaget til konkret gjennomføring og løpende styring.,"Oppdater planer ved behov;Følg opp fremdrift, kostnad, kvalitet og omfang;Følg opp risiko og avhengigheter",Plan and manage the execution,Turn the governance basis into concrete execution and continuous management.,"Update plans when needed;Follow up progress, cost, quality and scope;Follow up risk and dependencies"
1600,Gjennomføre,Directing,Utvikle og kvalitetssikre leveranser,Produsere prosjektets leveranser og sikre at de oppfyller avtalte krav.,Utvikle/etablere leveranser;Teste og kvalitetssikre;Håndtere avvik,Develop and quality assure deliverables,Produce the project's deliverables and ensure they meet the agreed requirements.,Develop/establish deliverables;Test and quality assure;Handle deviations
1700,Gjennomføre,Directing,"Følge opp anskaffelser, kontrakter og endringer",Sikre kontroll på eksterne leveranser og endringer i prosjektets rammer.,Følg opp kontrakter;Håndter endringsønsker;Følg opp leverandører,"Follow up procurements, contracts and changes",Ensure control of external deliveries and of changes to the project's scope and limits.,Follow up contracts;Handle change requests;Follow up suppliers
1800,Gjennomføre,Directing,Følge opp interessenter og endringsarbeid,"Sikre nødvendig involvering, kommunikasjon og organisatorisk forankring.",Følg opp kommunikasjon;Involver brukere;Følg opp endringsledelse,Follow up stakeholders and change work,"Ensure the necessary involvement, communication and organizational anchoring.",Follow up communication;Involve users;Follow up change management
1900,Gjennomføre,Directing,Forberede overlevering og realisering av nytte,Sikre at organisasjonen er klar til å ta leveransene i bruk og realisere forventet nytte.,Planlegg opplæring;Etabler drifts-/forvaltningsansvar;Forbered nyttestyring;Sikre nødvendig dokumentasjon,Prepare handover and benefit realization,Ensure the organization is ready to start using the deliverables and realize the expected benefits.,Plan training;Establish operations/maintenance responsibility;Prepare benefit management;Ensure the necessary documentation
2000,Avslutte,Closing,Overføre leveranser og ansvar,"Sikre formell og praktisk overgang fra prosjekt til linje, produkt eller forvaltning.",Overfør leveranser;Overfør dokumentasjon;Avklar ansvar;Gjennomfør kompetanseoverføring,Transfer deliverables and responsibility,"Ensure a formal and practical transition from project to line, product or maintenance organization.",Transfer deliverables;Transfer documentation;Clarify responsibility;Carry out knowledge transfer
2100,Avslutte,Closing,Avslutte prosjektets økonomi og kontrakter,Lukke prosjektets økonomiske og kontraktsmessige forhold.,Avslutt prosjektregnskap;Avslutt/overfør kontrakter;Avklar restarbeid,Close the project's finances and contracts,Close the project's financial and contractual matters.,Close the project accounts;Close/transfer contracts;Clarify remaining work
2200,Avslutte,Closing,Evaluere prosjektet og dokumentere læring,Vurdere prosjektgjennomføringen og sikre at erfaringer blir tilgjengelige for organisasjonen.,Evaluer måloppnåelse;Dokumenter erfaringer;Oppdater erfaringsgrunnlag;Deling med Prosjektportalen-nettverket,Evaluate the project and document lessons learned,Assess the project execution and make the experiences available to the organization.,Evaluate goal achievement;Document experiences;Update the lessons learned base;Share with the Prosjektportalen network
2300,Avslutte,Closing,Ferdigstille sluttdokumentasjon,Etablere et komplett og arkivert prosjektgrunnlag som dokumenterer resultat og avslutning.,Ferdigstill sluttrapport;Arkiver relevant dokumentasjon;Dokumenter gjenstående forhold,Complete the final documentation,Establish a complete and archived project record documenting the result and the closure.,Complete the final report;Archive relevant documentation;Document remaining matters
2400,Realisere,Benefits realization,Følge opp og måle nyttevirkninger,Måle om forventede nyttevirkninger faktisk oppnås.,Gjennomfør planlagte målinger;Følg opp indikatorer;Sammenlign faktisk og forventet nytte,Follow up and measure benefits,Measure whether the expected benefits are actually achieved.,Carry out planned measurements;Follow up indicators;Compare actual and expected benefits
2500,Realisere,Benefits realization,Iverksette tiltak for å realisere og øke nytte,Håndtere avvik og sikre at organisasjonen får ønsket effekt av prosjektet.,Identifiser årsaker til avvik;Iverksett tiltak;Følg opp effekten av tiltak,Initiate measures to realize and increase benefits,Handle deviations and ensure the organization gets the desired effect from the project.,Identify causes of deviations;Initiate measures;Follow up the effect of the measures
2600,Realisere,Benefits realization,Evaluere nytte og videre oppfølging,Dokumentere hva som er oppnådd og hva som bør skje videre med nyttestyringen.,Evaluer samlet nytte;Dokumenter læring;Avklar videre ansvar og oppfølging,Evaluate benefits and further follow-up,Document what has been achieved and what should happen next in the benefit management.,Evaluate overall benefits;Document lessons learned;Clarify further responsibility and follow-up
