id,fase,sortorder,gammel_tittel,gammel_tittel_en,ny_tittel,ny_tittel_en,handling,v6_kilde,begrunnelse
OP-001,Idé,10,Beslutte utredning av idéen og utforme et førsteutkast til prosjektmandat,Decide on investigation of the idea and formulate a first draft of the project mandate,"Registrere, forstå og prioritere innspill, og beslutte om idéen skal utredes videre","Register, understand and prioritize inputs, and decide whether the idea should be investigated further",omformuler,prosjektfasene/hva-er-idefasen/8,"v6 beskriver idéfasen som registrering, forståelse og prioritering av innspill før mandatarbeidet."
OP-002,Idé,20,Definere en tydelig problemstilling som synliggjør behovet for nærmere utredning,Define a clear problem statement that highlights the need for further investigation,"Beskrive hva problemet eller behovet er, hvem som berøres, og hvorfor det bør løses","Describe what the problem or need is, who is affected, and why it should be solved",omformuler,prosjektfasene/hva-er-idefasen/8,"v6s krav til registrering av innspill."
OP-003,Idé,30,Gjøre det tydelig hvordan eller av hvem utredningen skal finansieres,Make it clear how or by whom the investigation will be financed,"Avklare organisering, ressursbruk og fremdrift for konseptfasen i mandatet","Clarify organization, resource use and progress for the concept phase in the mandate",omformuler,prosjektfasene/utarbeide-mandat-konseptfasen/11,"Finansieringsspørsmålet inngår i mandatets punkt om organisering og ressursbruk i v6."
OP-004,Idé,40,Vurdere om det er mest riktig å gjennomføre tiltaket som et prosjekt eller som en linjeoppgave,Assess whether it is most appropriate to carry out the initiative as a project or as a line task,"Vurdere om saken bør håndteres i linjen, i porteføljen, i et produktteam eller som mulig prosjekt","Assess whether the matter should be handled in the line organization, the portfolio, a product team or as a possible project",omformuler,prosjektfasene/hva-er-idefasen/8 + prosjektfasene/bp1-beslutte-oppstart-av-en-konseptfase/12,"v6 utvider valget med portefølje og produktteam."
OP-005,Idé,50,Vurdere om tiltaket er i henhold til virksomhetsstrategien,Assess whether the initiative is in accordance with the business strategy,"Vurdere hvilke mål eller føringer innspillet støtter opp under, og prioritere mot andre behov","Assess which goals or guidelines the input supports, and prioritize against other needs",omformuler,prosjektfasene/hva-er-idefasen/8,"v6 vurderer innspill samlet mot mål, føringer og andre behov."
OP-006,Idé,60,Vurdere om det finnes noen føringer (IT -politiske eller andre) som gjelder og må tas hensyn til i utredningen,Consider if there are any guidelines (IT-political or others) that apply and must be taken into account in the investigation,"Beskrive føringer, avhengigheter og kjent usikkerhet i mandatet","Describe guidelines, dependencies and known uncertainty in the mandate",omformuler,prosjektfasene/utarbeide-mandat-konseptfasen/11,"Mandatets innholdskrav i v6; «IT-politiske» er utgått som begrep i fasene."
OP-007,Idé,70,Vurdere om det er behov for mer informasjon før det kan fattes en beslutning,Assess whether more information is needed before a decision can be made,,,fjern,prosjektfasene/bp1-beslutte-oppstart-av-en-konseptfase/12,"Ikke egen aktivitet i v6 — dekkes av BP1-utfallet «mandatet må bearbeides»."
OP-008,Idé,80,Utforme endelig prosjektmandat og legge det fram til vedtak i Beslutningspunkt 1 (BP1),Develop final project mandate and present it for decision at Decision Point 1 (DP1),Utarbeide mandat for konseptfasen og legge det fram til vedtak i Beslutningspunkt 1 (BP1),Prepare the mandate for the concept phase and present it for decision at Decision Point 1 (DP1),omformuler,prosjektfasene/utarbeide-mandat-konseptfasen/11,"«Prosjektmandat» heter «mandat for konseptfasen» i v6 (som i malbiblioteket)."
OP-009,Idé,90,Gjennomføre BP1 (sjekkliste og ev. faseovergang) og vurdere om vi skal gå videre til konseptfasen og utrede ulike konsepter for et mulig prosjekt,Conduct DP1 (checklist and possible phase transition) and assess whether we should proceed to the concept phase and investigate different concepts for a possible project,Gjennomføre BP1 (sjekkliste og ev. faseovergang) og beslutte om det skal startes en konseptfase,Conduct DP1 (checklist and possible phase transition) and decide whether a concept phase should be started,omformuler,prosjektfasene/bp1-beslutte-oppstart-av-en-konseptfase/12,"Strammet til v6s BP1-formulering; BP-nummer i klartekst beholdes."
OP-010,Idé,100,"Hvis man i BP1 har vedtatt å gå videre til konseptfasen, utnevne en utredningsleder for konseptfasen","If it has been decided in DP1 to proceed to the concept phase, appoint an investigation leader for the concept phase","Hvis man i BP1 har vedtatt å gå videre, utpeke leder av utredningsarbeidet for konseptfasen","If DP1 decides to proceed, appoint the leader of the investigation work for the concept phase",omformuler,godt-vite/roller/80,"v6-rollen heter «Leder av utredningsarbeidet»."
OP-011,Konsept,110,Etablere prosjektforslagsdokumentet for videre arbeid (på basis av prosjektmandatet),Establish the project proposal document for further work (based on the project mandate),Opprette prosjektforslaget på grunnlag av mandatet for konseptfasen,Create the project brief based on the mandate for the concept phase,omformuler,prosjektfasene/forelopig-styringsdokumentasjon/18,"Prosjektforslaget inngår i foreløpig styringsdokumentasjon i v6."
OP-012,Konsept,120,Utnevne en prosjekteier,Appoint a project owner,Oppnevne prosjekteier (senest ved oppstart av planleggingsfasen),Appoint the project owner (at the latest at the start of the planning phase),omformuler,prosjektfasene/bp2-beslutte-oppstart-av-planleggingsfasen/25 + godt-vite/roller/80,"v6: virksomhetsledelsen oppnevner prosjekteier ved BP2-beslutningen, senest ved oppstart av planleggingsfasen."
OP-013,Konsept,130,Vurdere om det skal etableres et prosjektstyre,Consider whether a project steering committee should be established,"Etablere prosjektorganisasjonen med roller, ansvar, myndighet og beslutningslinjer","Establish the project organization with roles, responsibilities, authority and decision lines",flytt-fase,prosjektfasene/etablere-prosjektorganisasjonen/33,"Flyttes til Planlegge: prosjektstyret etableres i aktiviteten «Etablere prosjektorganisasjonen» i v6. Slås sammen med OP-032."
OP-014,Konsept,140,Etablere rollebeskrivelse for prosjekteier,Establish role description for project owner,,,fjern,godt-vite/roller/80,"v6 har sentrale rollebeskrivelser på rollesiden; egen etablering per prosjekt er ikke en v6-aktivitet."
OP-015,Konsept,150,Utpeke en prosjektleder,Appoint a project manager,"Etablere prosjektorganisasjonen med roller, ansvar, myndighet og beslutningslinjer","Establish the project organization with roles, responsibilities, authority and decision lines",flytt-fase,prosjektfasene/etablere-prosjektorganisasjonen/33,"Flyttes til Planlegge: prosjektleder oppnevnes ved etablering av prosjektorganisasjonen i v6 (konseptfasen ledes av leder av utredningsarbeidet). Slås sammen med OP-032."
OP-016,Konsept,160,Etablere rollebeskrivelse for prosjektleder,Establish role description for project manager,,,fjern,godt-vite/roller/80,"Som OP-014: sentrale rollebeskrivelser i v6."
OP-017,Konsept,170,"Allokere nøkkelressurser for prosjektet og gjøre nødvendige avtaler for å sikre ressurstilgang, samt sette sammen en prosjektgruppe","Allocate key resources for the project and make necessary agreements to ensure resource access, as well as assemble a project team","Etablere prosjektorganisasjonen med roller, ansvar, myndighet og beslutningslinjer","Establish the project organization with roles, responsibilities, authority and decision lines",flytt-fase,prosjektfasene/etablere-prosjektorganisasjonen/33,"Flyttes til Planlegge: ressursallokering og teametablering skjer i planleggingsfasen i v6. Slås sammen med OP-032."
OP-018,Konsept,180,"Gjennomføre nødvendige analyser (Samfunnsøkonomisk analyse, KS1, KS2 e.l.)","Conduct necessary analyses (Socio-economic analysis, QA1, QA2, etc.)","Vurdere virkninger av konseptene, inkludert samfunnsøkonomisk lønnsomhet","Assess the effects of the concepts, including socio-economic profitability",omformuler,prosjektfasene/vurdere-virkninger-og-anbefale-konsept/16,"«Gjennomføre samfunnsøkonomisk analyse» er avviklet som egen aktivitet (v2.6); v6 dekker vurderingen i «Vurdere virkninger og anbefale konsept» (TERM-008)."
OP-019,Konsept,190,Etablere en grov prosjektbegrunnelse,Establish a rough project justification,Utarbeide prosjektbegrunnelse (første versjon),Prepare the business case (first version),omformuler,prosjektfasene/forelopig-styringsdokumentasjon/18,"Prosjektbegrunnelsen inngår i foreløpig styringsdokumentasjon i v6."
OP-020,Konsept,200,Samle inn erfaringer fra tidligere prosjekter og aktiviteter som er nyttige for dette prosjektet,Collect experiences from previous projects and activities that are useful for this project,Innhente erfaringer fra tidligere prosjekter som grunnlag for konseptarbeidet,Collect experiences from previous projects as a basis for the concept work,omformuler,prosjektfasene/til-hjelp-i-konseptarbeidet/17,"«Erfaringer fra tidligere prosjekter» er tema i v6s konseptstøtte."
OP-021,Konsept,210,Etablere prosjektets egen erfaringslogg,Establish the project's own experience log,,,behold,prosjektfasene/til-hjelp-i-konseptarbeidet/17 + godt-vite/begreper/81,"Erfaringslogg er fortsatt et v6-begrep, og konseptarbeidet skal dokumenteres i den."
OP-022,Konsept,220,Vurdere om prosjektet er realistisk og gjennomførbart,Assess whether the project is realistic and feasible,"Vurdere forutsetningene for gjennomføring, inkludert organisasjonens kapasitet og modenhet","Assess the prerequisites for implementation, including the organization's capacity and maturity",omformuler,prosjektfasene/planlegge-konseptarbeidet-og-avklare-problem-mal-og-mulige-konsepter/15 + prosjektfasene/bp2-beslutte-oppstart-av-planleggingsfasen/25,"v6 vektlegger organisasjonens evne til å gjennomføre endringen."
OP-023,Konsept,230,Vurdere om prosjektforslaget støtter opp under virksomhetens mål og strategier,Assess whether the project proposal supports the organization's goals and strategies,Vurdere hvordan konseptene bidrar til virksomhetens mål,Assess how the concepts contribute to the organization's goals,omformuler,prosjektfasene/planlegge-konseptarbeidet-og-avklare-problem-mal-og-mulige-konsepter/15 + prosjektfasene/vurdere-virkninger-og-anbefale-konsept/16,"Målformulering og målbidrag er kjernen i v6s konseptvurdering."
OP-024,Konsept,240,Vurdere om det er gjort en tilstrekkelig evaluering av ulike alternativer å sikre at prosjektforslaget gir et riktig valg å gå videre med. (Husk kvantitative og kvalitative gevinstanalyser og sammenligninger av kost/nytte for hvert alternativ),Assess whether a sufficient evaluation of various alternatives has been made to ensure that the project proposal provides a correct choice to proceed with. (Remember quantitative and qualitative benefit analyses and cost/benefit comparisons for each alternative),"Vurdere nyttevirkninger, kostnadsvirkninger og risiko for hvert konsept, inkludert nullalternativet","Assess benefits, cost effects and risk for each concept, including the zero option",omformuler,prosjektfasene/vurdere-virkninger-og-anbefale-konsept/16 + prosjektfasene/planlegge-konseptarbeidet-og-avklare-problem-mal-og-mulige-konsepter/15,"v6/DFØ-terminologi: nyttevirkninger og kostnadsvirkninger (TERM-001); nullalternativet er eksplisitt krav."
