sortorder,fase,fase_en,tittel,tittel_en
100,Idé,Idea,Er behovet eller problemet tydelig beskrevet?,Is the need or problem clearly described?
200,Idé,Idea,"Bør saken håndteres i linjen, i porteføljen, i et produktteam eller som mulig prosjekt?","Should the matter be handled in the line organization, the portfolio, a product team or as a possible project?"
300,Idé,Idea,"Er innspillet vurdert opp mot virksomhetens mål, andre behov og prioriteringer?","Has the input been assessed against the organization's goals, other needs and priorities?"
400,Idé,Idea,"Er føringer, avhengigheter og kjent usikkerhet beskrevet i mandatet?","Are guidelines, dependencies and known uncertainty described in the mandate?"
500,Idé,Idea,Er det riktig å bruke ressurser på videre utredning i en konseptfase?,Is it right to spend resources on further investigation in a concept phase?
600,Idé,Idea,"Er relevante brukere, interessenter og berørte grupper identifisert?","Have relevant users, stakeholders and affected groups been identified?"
700,Idé,Idea,"Har forslaget til konseptfase et tydelig formål, riktig avgrensning og realistiske rammer?","Does the proposed concept phase have a clear purpose, appropriate scope and realistic limits?"
800,Idé,Idea,Er ansvarlig enhet pekt ut?,Has a responsible unit been appointed?
900,Konsept,Starting up,Er forutsetningene for gjennomføring realistiske?,Are the prerequisites for implementation realistic?
1000,Konsept,Starting up,"Er nytteeier utpekt eller involvert, og er ansvaret for nyttevirkninger avklart?","Has the benefit owner been appointed or involved, and is responsibility for the benefits clarified?"
1100,Konsept,Starting up,Støtter anbefalt konsept virksomhetens mål og strategier?,Does the recommended concept support the organization's goals and strategies?
1200,Konsept,Starting up,"Er relevante konsepter vurdert, med nyttevirkninger, kostnadsvirkninger og risiko for hvert alternativ?","Have relevant concepts been assessed, with benefits, cost effects and risk for each alternative?"
1300,Konsept,Starting up,"Er foreløpig styringsdokumentasjon utarbeidet (prosjektbegrunnelse, prosjektforslag og første interessentanalyse)?","Has preliminary governance documentation been prepared (business case, project brief and initial stakeholder analysis)?"
1400,Konsept,Starting up,Er problemet og målene tydelige?,Are the problem and the objectives clear?
1500,Konsept,Starting up,"Bør videre arbeid organiseres som prosjekt, produktteam eller på annen måte?","Should further work be organized as a project, a product team or in another way?"
1600,Konsept,Starting up,Har planleggingsfasen tydelig mandat og rammer?,Does the planning phase have a clear mandate and limits?
1700,Konsept,Starting up,"Er prinsipielle spørsmål vurdert (personvern, informasjonssikkerhet, rettssikkerhet, etikk)?","Have questions of principle been considered (privacy, information security, legal protection, ethics)?"
1800,Planlegge,Initiating,"Er prosjektbegrunnelsen oppdatert, og er prosjektet fortsatt ønskelig og i tråd med virksomhetens mål?","Has the business case been updated, and is the project still desirable and aligned with the organization's goals?"
1900,Planlegge,Initiating,"Er prosjektets produkter tydelig beskrevet, og bidrar de til forventede nyttevirkninger?","Are the project's products clearly described, and do they contribute to the expected benefits?"
2000,Planlegge,Initiating,"Er gjennomføringsplanen realistisk, med egnet inndeling i delfaser, leveranser eller iterasjoner?","Is the execution plan realistic, with suitable division into sub-phases, deliveries or iterations?"
2100,Planlegge,Initiating,"Er nødvendige gjennomføringsstrategier utarbeidet (for eksempel anskaffelses-, kvalitets-, risiko- og bærekraftstrategi)?","Have the necessary implementation strategies been prepared (for example procurement, quality, risk and sustainability strategy)?"
2200,Planlegge,Initiating,Er interessentanalysen oppdatert?,Has the stakeholder analysis been updated?
2300,Planlegge,Initiating,"Er team, roller og ansvar avklart, med tilstrekkelig kompetanse og kapasitet?","Are teams, roles and responsibilities clarified, with sufficient competence and capacity?"
2400,Planlegge,Initiating,"Er usikkerhet, avhengigheter og tiltak vurdert, og er risikonivået akseptabelt?","Have uncertainty, dependencies and measures been assessed, and is the risk level acceptable?"
2500,Planlegge,Initiating,Er akseptansekriterier med toleranser definert for alle sju styringsparameterne?,Have acceptance criteria with tolerances been defined for all seven performance targets?
2600,Planlegge,Initiating,Er plan for nyttestyring utarbeidet i samarbeid med nytteeier og linjeorganisasjonen?,Has the benefit management plan been prepared in cooperation with the benefit owner and the line organization?
2700,Planlegge,Initiating,"Er linjeorganisasjonen og brukerne tilstrekkelig involvert, og er kapasiteten til å realisere nyttevirkningene vurdert?","Are the line organization and users sufficiently involved, and has the capacity to realize the benefits been assessed?"
