id,fase,sortorder,gammel_tittel,gammel_tittel_en,ny_tittel,ny_tittel_en,handling,v6_kilde,begrunnelse
SJ-001,Idé,10,Er det en tydelig definert problemstilling som synliggjør behovet for nærmere utredning?,Is there a clearly defined problem statement that highlights the need for further investigation?,,,,,
SJ-002,Idé,20,Er det tydeliggjort hvordan eller av hvem utredningen skal finansieres?,Has it been clarified how or by whom the investigation will be financed?,,,,,
SJ-003,Idé,30,Er det mest riktig å gjennomføre tiltaket som et prosjekt eller som en linjeoppgave?,Is it most appropriate to carry out the initiative as a project or as a line task?,,,,,
SJ-004,Idé,40,Er tiltaket  i henhold til virksomhetsstrategien?,Is the initiative in accordance with the business strategy?,,,,,
SJ-005,Idé,50,Er det behov for mer informasjon før det kan fattes en beslutning,Is more information needed before a decision can be made?,,,,,
SJ-006,Idé,60,Er det tydeliggjort hvilke føringer (IT -politiske eller andre) som gjelder for og må tas hensyn til i utredningen?,Have the guidelines (IT-political or others) that apply and must be considered in the investigation been clarified?,,,,,
SJ-007,Idé,70,Skal vi gå videre til konseptfasen og utrede ulike konsepter for et mulig prosjekt?,Should we proceed to the concept phase and investigate different concepts for a possible project?,,,,,
SJ-008,Konsept,80,Er prosjektet realistisk og gjennomførbart?,Is the project realistic and feasible?,,,,,
SJ-009,Konsept,90,Er det etablert et prosjektstyre?,Has a project steering committee been established?,,,,,
SJ-010,Konsept,100,Er rollebeskrivelse for prosjekteier etablert?,Has a role description for the project owner been established?,,,,,
SJ-011,Konsept,110,Er gevinstansvarlig utpekt og rollebeskrivelse etablert?,Has a benefits manager been appointed and role description established?,,,,,
SJ-012,Konsept,120,Støtter prosjektforslaget opp under virksomhetens mål og strategier?,Does the project proposal support the organization's goals and strategies?,,,,,
SJ-013,Konsept,130,"Er det gjort tilstrekkelige vurderinger av alternative investeringer som sikrer at prosjektforslaget representerer et riktig valg å gå videre med, inklusive kvantitative og kvalitative gevinstanalyser og sammenligninger av kost/nytte for hvert alternativ?","Have sufficient assessments of alternative investments been made to ensure that the project proposal represents a correct choice to proceed with, including quantitative and qualitative benefit analyses and cost/benefit comparisons for each alternative?",,,,,
SJ-014,Konsept,140,Er prosjektleder og øvrige sentrale prosjektdeltakere utpekt?,Are project manager and other key project participants appointed?,,,,,
SJ-015,Konsept,150,Er rollebeskrivelse for prosjektleder etablert?,Is role description for project manager established?,,,,,
SJ-016,Konsept,160,Er nøkkelressurser allokert?,Are key resources allocated?,,,,,
SJ-017,Konsept,170,Er det utarbeidet en grov Prosjektbegrunnelse?,Has a rough project justification been developed?,,,,,
SJ-018,Planlegge,180,Er prosjektet fortsatt ønskelig og i tråd med virksomhetens strategiske mål?,Is the project still desirable and in line with the organization's strategic goals?,,,,,
SJ-019,Planlegge,190,Er prosjektets resultatmål med tilhørende produkter/leveranser egnet til å skape de ønskede endringene og gevinstene som ble lagt til grunn for vurderingene i konseptfasen?,Are the project's result objectives with associated products/deliverables suitable to create the desired changes and benefits that were the basis for the assessments in the concept phase?,,,,,
SJ-020,Planlegge,200,Er det utarbeidet en helhetlig og konsistent plan som bryter prosjektet ned i håndterbare faser?,Has a comprehensive and consistent plan been developed that breaks the project down into manageable phases?,,,,,
SJ-021,Planlegge,210,"Er det utarbeidet nødvendige strategier for gjennomføring, (for eksempel implementeringsstrategi, kvalitetsstrategi og anskaffelsesstrategi)?","Have necessary strategies for implementation been developed (for example implementation strategy, quality strategy and procurement strategy)?",,,,,
SJ-022,Planlegge,220,Er det gjennomført interessentanalyse?,Has stakeholder analysis been conducted?,,,,,
SJ-023,Planlegge,230,"Er prosjektorganisasjonen tydelig definert med roller og ansvar, og er det ressurser til å gjennomføre prosjektet?","Is the project organization clearly defined with roles and responsibilities, and are there resources to carry out the project?",,,,,
